list_name,list_date,ticker,form,base_score,filing_day_close,next_open,next_high,next_close,next_volume,gap_next_open_pct,next_day_max_run_pct,next_day_close_pct,next_day_vwap_pct,spy_close_pct,alpha_close_pct,catalyst_sign,exec_cost_pct,hit_2pct,hit_3pct,hit_5pct,hit_2pct_net,realistic_pnl_pct,realistic_pnl_net_pct,market_cap
sec_top_gappers,2026-06-25,ASPI,8-K,23,6.3500,6.1600,6.2750,6.1700,7525500,-2.9921,-1.1811,-2.8346,-3.9108,-0.7231,-2.1115,0,0.5000,0,0,0,0,-1.5000,-2.0000,799486888
sec_top_gappers,2026-06-25,PETV,8-K,23,0.8000,0.8000,0.8800,0.8500,43700,0.0000,10.0000,6.2500,4.1667,-0.7231,6.9731,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_top_gappers,2026-06-25,ATII,8-K,23,10.8500,10.8400,10.9000,10.8200,169900,-0.0922,0.4608,-0.2765,-0.0307,-0.7231,0.4466,0,0.5000,0,0,0,0,-0.1845,-0.6845,321051500
sec_top_gappers,2026-06-25,SPRO,8-K,23,2.0200,2.0300,2.3250,2.2600,2222000,0.4950,15.0990,11.8812,8.8284,-0.7231,12.6043,0,0.2000,1,1,1,1,2.0000,1.8000,
sec_top_gappers,2026-06-25,SMNR,8-K,23,1.1000,1.1000,1.2500,0.6000,73854,0.0000,13.6364,-45.4545,-28.3333,-0.7231,-44.7314,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_top_gappers,2026-06-25,SPRY,8-K,23,8.0200,8.0900,8.9700,8.5400,5015200,0.8728,11.8454,6.4838,5.9019,-0.7231,7.2069,0,0.2000,1,1,1,1,2.0000,1.8000,
sec_top_gappers,2026-06-25,MARA,8-K,23,13.8800,13.5800,15.0000,14.5400,56764500,-2.1614,8.0692,4.7550,2.9779,-0.7231,5.4782,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_top_gappers,2026-06-25,CELU,8-K,22,0.6650,0.6400,0.6800,0.6200,222100,-3.7594,2.2556,-6.7669,-6.4662,-0.7231,-6.0438,0,0.2000,1,0,0,1,-1.5000,-1.7000,
sec_top_gappers,2026-06-25,BTGO,8-K,22,4.8000,4.7000,5.1800,5.1200,1210500,-2.0833,7.9167,6.6667,4.1667,-0.7231,7.3898,0,0.2000,1,1,1,1,2.0000,1.8000,
sec_top_gappers,2026-06-25,CRMT,8-K,22,3.7900,3.4200,3.5500,2.6000,3549400,-9.7625,-6.3325,-31.3984,-25.8575,-0.7231,-30.6753,0,0.2000,0,0,0,0,-1.5000,-1.7000,
